target_A,L_nH,Ron,Roff,step,status,pass,peak_V,Ioff1_A,Ion2_A,Ioff2_A,name,error
30,5,3.5,2.0,500p,ok,False,100.6823322699768,29.975060186674845,29.69643789803231,33.29683981894853,I30_L5_on3.5_off2_500p_search,
30,5,4.0,1.5,500p,ok,True,99.69836548496122,29.96746768258983,29.683449699766317,33.274243300289186,I30_L5_on4_off1.5_500p_search,
30,5,4.0,1.5,250p,ok,True,99.67633112163216,29.96745733500583,29.683448528834337,33.27404838609843,I30_L5_on4_off1.5_250p_verification,
30,5,4.0,1.5,125p,ok,False,100.13124922744053,29.96745022866733,29.6834400455918,33.274102177884245,I30_L5_on4_off1.5_125p_additional_check,
30,5,4.5,1.0,500p,ok,True,99.95032327371948,29.959843434060918,29.670580365232645,33.25146077120585,I30_L5_on4.5_off1_500p_search,
30,5,4.5,1.0,250p,ok,False,100.36973323962732,29.959862745685303,29.670604316700125,33.25167510706913,I30_L5_on4.5_off1_250p_verification,
30,5,5.0,0.5,500p,ok,False,101.61280478990054,29.95228394261566,29.657970936147688,33.22951563734073,I30_L5_on5_off0.5_500p_search,
30,5,0.5,5.5,500p,ok,False,121.3707605281961,30.021693831974247,29.782274408146804,33.43615188100212,I30_L5_on0.5_off5.5_500p_search,
30,5,1.0,5.0,500p,ok,False,121.40420352129648,30.01375543366329,29.768684907783367,33.41373813437121,I30_L5_on1_off5_500p_search,
30,5,1.5,4.5,500p,ok,False,118.66352476987971,30.005894598910487,29.755186386594907,33.39172282116931,I30_L5_on1.5_off4.5_500p_search,
30,5,2.0,4.0,500p,ok,False,114.6599854382427,29.998108345398666,29.741755992273163,33.36937419129684,I30_L5_on2_off4_500p_search,
30,5,2.5,3.5,500p,ok,False,111.15162484536741,29.99038152257818,29.728410928695524,33.34719612505396,I30_L5_on2.5_off3.5_500p_search,
30,5,3.0,3.0,500p,ok,False,107.99387038402877,29.98269873242819,29.71514651717718,33.32478262485314,I30_L5_on3_off3_500p_search,
30,5,3.5,2.5,500p,ok,False,104.34193095006437,29.975052338387755,29.70193251953084,33.30224699097463,I30_L5_on3.5_off2.5_500p_search,
30,5,4.0,2.0,500p,ok,False,101.18143241168266,29.967432521854125,29.688819752390085,33.279665385404975,I30_L5_on4_off2_500p_search,
30,5,4.5,1.5,500p,ok,True,99.27837730442818,29.9600463821553,29.676163710739146,33.25706871708041,I30_L5_on4.5_off1.5_500p_search,
30,5,4.5,1.5,250p,ok,True,99.33217456131125,29.959866864711998,29.676076579256474,33.25697359789555,I30_L5_on4.5_off1.5_250p_verification,
30,5,4.5,1.5,125p,ok,True,99.63368667499196,29.95987919410807,29.675857834428665,33.25696287002418,I30_L5_on4.5_off1.5_125p_additional_check,
30,5,5.0,1.5,500p,ok,True,99.21590131204029,29.95228406338842,29.668305305888772,33.239514393967475,I30_L5_on5_off1.5_500p_neighbour,
30,5,4.5,2.0,500p,ok,False,101.82288347182383,29.959843524677055,29.6812366603457,33.26226807396495,I30_L5_on4.5_off2_500p_neighbour,
45,5,0.5,0.5,500p,ok,False,135.32048593714435,45.01545773879617,44.69647098794179,48.30068495346316,I45_L5_on0.5_off0.5_500p_search,
45,5,0.5,1.0,500p,ok,False,149.24809339430863,45.01545763995094,44.70165922231253,48.306766736671605,I45_L5_on0.5_off1_500p_search,
45,5,1.0,0.5,500p,ok,False,129.56174250411505,45.00760473898533,44.68862871282784,48.28328022019121,I45_L5_on1_off0.5_500p_search,
